"Chemical","CASRN","SK4000WB","SK4002WB","SK4003WB","SK4004WB","SK4005WB","SK4006WB","SK4007WB","SK4008WB","SK4009WB","SK4010WB","SK4011WB","SK4014WB","SK4016WB","SK4017WB","SK4018WB","SK4019WB","SK4020WB","SK4021WB","SK4022WB","SK4023WB","SK4024WB","SK4025WB","SK4026WB","SK4027WB","SK4028WB","SK4029WB","SK4030WB","SK4031WB","SK4033WB","SK4034WB"
"(+/-)-Cis-Permethrin","61949-76-6",0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,117,0,0,1790,0,0,393,0,0,0,0,0
"1-Methyl phenanthrene","832-69-9",0,0,0,0,0,0,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Methylnaphthalene","90-12-0",0,20.2,26.7,13.3,26.5,0,0,0,0,0,0,24.7,0,0,0,0,55.9,0,0,20.8,0,143,15.6,0,5.04,10.6,0,0,0,15
"1,2,4-Trimethylbenzene","95-63-6",0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,70.5,0,0,0,0,0,0,0,16.3
"2-Methylnaphthalene","91-57-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,5.78,0
"2,4-Bis(alpha,alpha-dimethylbenzyl)phenol","2772-45-4",0,0,0,0,0,0,51.9,0,78.4,66.2,0,0,0,0,81,0,0,0,0,0,0,0,0,0,66.5,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",0,135,328,277,0,10.7,124,0,76.3,0,219,0,0,36.8,168,149,99.1,0,235,0,0,203,0,0,16.1,129,23.4,324,99.1,105
"2,6-Diethylnaphthalene","59919-41-4",0,0,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylnaphthalene","581-42-0",0,31.4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0,40.7,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,0,0,0,0,0,0,0,381,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,0,0,0,0,0,0
"A-Ionone","127-41-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,132,0,0,0,141,0,0,0,0
"Acenaphthene","83-32-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,0,0,0,0,0,80.2,0,0,0,0,0,0,0,0,0,47.3,0,0,0,0,0,0,0,0,0
"Amyl cinnamal","122-40-7",0,0,0,0,0,0,95.2,0,0,324,82.6,0,0,0,0,0,0,0,0,0,409,478,0,0,0,0,0,0,0,0
"Anthracene","120-12-7",0,0,0,0,0,21.4,0,0,153,67.6,0,60,0,0,41.9,34.1,0,0,55.9,0,94.6,0,0,62.4,81.6,0,0,0,0,24.5
"B-Ionone","79-77-6",0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0
"Benzophenone","119-61-9",802,573,1340,1180,765,682,494,962,675,824,620,459,147,265,512,341,176,235,460,260,1530,1320,240,1210,171,306,182,379,198,354
"Benzothiazole","95-16-9",980,752,486,422,676,0,371,210,0,265,620,0,544,353,0,0,703,559,217,112,601,287,269,735,443,235,403,610,909,504
"Benzotriazole","95-14-7",0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0
"Benzyl benzoate","120-51-4",2050,573,12200,32500,1760,949,4700,420,4580,8680,425,5060,1470,0,2700,0,496,250,388,1380,0,2150,580,2620,302,788,547,0,306,1030
"Benzyl salicylate","118-58-1",5700,999,2430,892,2060,0,3090,1110,0,5000,754,4940,1470,0,10200,416,153,0,5590,839,23000,1550,1060,2010,171,424,286,2680,0,3400
"Bifenthrin","82657-04-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biphenyl","92-52-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7,0,0,0,0,0,0,0,0
"Bis(2-ethylhexyl)phthalate","117-81-7",59700,16800,40100,69900,69100,49500,80300,0,239000,0,0,116000,27900,36800,48400,76700,86300,17600,73100,18200,89500,80100,29700,40300,6340,27100,11100,54600,11600,28600
"Butyl benzyl phthalate","85-68-7",1600,483,377,1100,1060,0,12400,1330,1630,5290,583,9290,544,0,3070,1390,1150,67.6,352,0,1110,3710,537,745,79.6,224,2600,0,2480,613
"Butylated hydroxyanisole","121-00-6",0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butylated hydroxytoluene","128-37-0",348,95.4,0,157,0,0,0,38.7,0,0,89.9,0,0,0,0,100,0,0,59.5,0,486,98,0,67.5,0,0,0,0,0,0
"Caffeine","58-08-2",4810,2250,15800,3860,1760,1180,0,0,2610,5150,12200,11800,0,0,6050,0,5430,3090,0,1470,12800,14300,1000,1210,423,2120,0,2590,1490,5170
"Carvone","99-49-0",784,0,0,0,0,0,0,0,0,176,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamal","104-55-2",517,0,0,301,500,0,1980,0,0,191,0,0,0,0,0,0,0,176,99.2,42.4,0,0,0,66.5,0,188,234,0,215,477
"Citral","141-27-5",0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,266,432,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coumarin","91-64-5",0,0,0,0,1910,0,766,0,0,0,0,165,0,0,0,0,0,0,0,95.2,2690,0,0,0,0,0,0,0,0,0
"Cyhalothrin I (lambda)","68085-85-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0
"D-Citronellol","1117-61-9",0,595,0,699,0,0,284,0,0,0,1120,0,0,0,0,1280,959,0,0,83,1530,0,0,0,0,0,0,0,0,0
"DEET","134-62-3",0,853,5350,1150,0,214,2220,1440,10900,17600,583,3410,279,647,2140,4580,0,206,3070,164,997,3590,156,21200,836,75.3,0,0,0,436
"Di-n-butyl phthalate","84-74-2",0,0,0,0,43500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Di-n-hexyl phthalate","84-75-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,416,0,0,0
"Di-n-nonyl phthalate","84-76-4",686,1230,42.5,8800,0,0,0,962,3700,0,802,706,0,926,0,171,0,0,505,571,818,0,0,171,0,0,2080,2030,0,926
"Dibenzofuran","132-64-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0
"Diethyl phthalate","84-66-2",2140,864,2800,1570,1910,896,9020,3760,2290,17600,1820,8710,824,1350,2980,362,591,471,1260,865,2170,0,792,554,0,1530,0,897,909,2590
"Diisobutyl phthalate","84-69-5",25800,977,1960,5560,1930,13200,8040,2220,3500,3990,1710,1190,0,1490,2150,13800,4010,1000,3170,1390,8960,9460,8920,1520,453,2250,15500,3710,0,912
"Dimethyl phthalate","131-11-3",285,135,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,283,0,0,87.1,0,0,0,0
"Ethofenprox","80844-07-1",116,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethylene brassylate","105-95-3",0,0,0,35000,0,0,1850,0,0,1350,0,0,0,0,4750,0,0,0,0,0,0,0,0,3220,0,0,0,0,0,2180
"Fipronil","120068-37-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0
"Fluoranthene","206-44-0",0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,0,0,0,0
"Fluorene","86-73-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
"Galaxolide","1222-05-5",3030,168,1340,579,676,241,927,310,1530,4120,474,6590,956,0,6420,0,352,0,0,839,3320,383,1840,3730,1010,424,234,620,0,1360
"Geraniol","106-24-1",0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,3070,0,0,0,0,0,0,0,0,0
"Lilial","80-54-6",891,0,292,0,529,241,1480,232,0,0,0,1760,1470,0,512,0,0,0,0,251,3580,3590,0,3220,0,0,0,0,0,150
"Linalool","78-70-6",258,0,0,325,1320,0,618,0,0,912,92.4,0,0,0,0,0,0,426,0,303,1660,658,170,876,0,0,0,0,0,531
"Methoprene I","40596-69-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0
"Naphthalene","91-20-3",39.2,88.7,94.8,27.7,60.3,4.01,4.94,13.3,0,54.4,2300,51.8,0,0,12.1,20.2,59.1,83.8,63.2,2.6,94.6,104,49.5,35.3,0,3.53,0,71.2,0.826,8.17
"P-Cymene","99-87-6",0,191,267,386,647,107,198,111,0,250,170,329,765,88.2,186,149,112,500,0,0,0,71.7,0,101,0,494,234,55.5,57.8,150
"P-Dichlorobenzene","106-46-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0
"P-Xylene","106-42-3",0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBDE 49","243982-82-3",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBDE 99","60348-60-9",267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pentadecan-15-olide","106-02-5",0,0,0,22900,2210,0,1610,0,24000,7940,0,0,0,11200,0,24500,0,0,19800,5450,0,3470,4240,0,0,0,0,41600,0,10500
"Permethrin","52645-53-1",0,146,0,0,250,521,198,0,0,0,0,3060,0,0,0,416,3680,0,0,0,0,2390,65,97.7,443,0,0,0,41.3,0
"Phenanthrene","85-01-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,17.6,0,0,0,0
"Piperonyl butoxide","51-03-6",0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrene","129-00-0",0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retene","483-65-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0
"Thymol","89-83-8",0,0,0,0,0,0,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toluene","108-88-3",0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonalide","21145-77-7",74,0,0,133,32.4,0,853,8.85,1310,412,28,776,60.3,0,624,0,0,0,81.2,0,1660,72.9,50.9,685,0,0,26,83.2,0,89.9
"TPP","115-86-6",152,104,2670,145,0,241,173,221,1200,0,107,0,721,603,382,0,0,0,0,0,230,167,0,1210,0,0,0,111,231,163
"Trichloroethylene","79-01-6",0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triethyl phosphate","78-40-0",0,0,0,157,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,109
"Tris(2-chloroisopropyl)phosphate","13674-84-5",2140,348,608,470,1620,111,408,487,3380,1260,0,565,0,176,1490,171,0,529,2350,41.5,2690,1320,86.3,302,121,424,0,777,215,150
