ParameterID,chemicalLink,toxicityType,listingMechanism,listingMechanismLink,dateListed,doseage,doseageLink
2,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/072613noil.html,13-Sep-13,,
10,,Cancer,AB,,1-Jan-90,100,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
18,,Cancer,SQE,,1-Jan-88,,
28,,Cancer,AB,,1-Oct-92,,
34,,Cancer,FR,,1-Jul-87,0.1,
35,,Cancer,FR,,1-Jul-87,0.2 (oral)                          3 (inhalation),
38,,Cancer,SQE,,1-Oct-87,10,
41,,Cancer,AB,,1-Jan-90,9.7,http://oehha.ca.gov/media/downloads/crnr/oehha2004a.pdf
47,,Cancer,SQE,http://oehha.ca.gov/media/downloads/proposition-65/13-dcphida.pdf,8-Oct-10,,
53,,Cancer,AB,,1-Jan-90,,
54,,Cancer,SQE,,1-Jan-89,20,
59,,Cancer,SQE,,1-Jan-88,30,
71,,Cancer,LC,,1-Oct-89,,
84,,Cancer,LC,,1-Oct-89,0.09,
85,,Cancer,LC,,1-Oct-89,0.09,
92,,Cancer,SQE,,1-Jan-88,0.000005,
104,,Cancer,SQE,,1-Jan-88,10,
108,,Cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
113,,Cancer,SQE,,1-Jul-88,2,
119,,Cancer,SQE,,1-Jul-95,,
121,,Cancer,SQE,,1-Jul-87,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
123,,Cancer,LC,,1-Oct-89,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
150,,Cancer,LC,,27-Feb-87,0.4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
153,,Cancer,SQE,,1-Jan-88,,
159,,Cancer,SQE,,1-Oct-87,0.6,
160,,Cancer,SQE,,1-Jan-88,0.15,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethoxybenzidinensrlaug202002.pdf
161,,Cancer,SQE,,1-Jan-88,0.044,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dimethylbenzidinensrlaug2002.pdf
166,,Cancer,AB,,1-Jan-90,0.03,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
170,,Cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
171,,Cancer,SQE,,1-Jan-89,"2                                      (DDT, DDE, DDD in combination)",
172,,Cancer,SQE,,1-Oct-87,"2                                      (DDT, DDE, DDD in combination)",
173,,Cancer,FR,,1-Jul-87,0.5,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
174,,Cancer,LC,,1-Oct-89,20,
175,,Cancer,SQE,,1-Jan-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
178,,Cancer,LC,,27-Feb-87,0.03,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
182,,Cancer,SQE,,1-Jan-88,40,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
185,,Cancer,AB,,1-Oct-94,1.5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/021810nsrlsummary.pdf
188,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/091611_LCset14.html,4-Nov-11,,
191,,Cancer,SQE,,1-Apr-88,,
195,,Cancer,SQE,,1-Jan-88,,
200,,Cancer,SQE,,1-Apr-88,6,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
202,,Cancer,AB,,1-Jan-90,0.003,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
211,,Cancer,SQE,,1-Apr-88,90 (inhalation),
222,,Cancer,FR,,1-Jul-87,0.7,
224,,Cancer,SQE,,1-Jan-89,,
228,,Cancer,SQE,,1-Jul-88,0.04,
237,,Cancer,AB,,1-Jan-90,,
246,,Cancer,AB,,1-Jan-90,100,
251,,Cancer,SQE,,1-Jul-87,20,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
253,,Cancer,LC,,27-Feb-87,100 fibers/day (inhalation),
260,,Cancer,AB,,1-Jan-90,6,
261,,Cancer,SQE,,1-Jan-88,0.05,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
267,,Cancer,LC,,27-Feb-87,6.4 (oral)                          13 (inhalation),http://oehha.ca.gov/media/downloads/crnr/benzenensrl061303.pdf
271,,Cancer,LC,,27-Feb-87,0.001,
272,,Cancer,SQE,,1-Jul-87,0.033 (oral),http://oehha.ca.gov/media/downloads/crnr/2pahnsrls62104.pdf
273,,Cancer,SQE,,1-Jul-87,0.06,
275,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
278,,Cancer,SQE,,1-Jul-87,0.11 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
279,,Cancer,SQE,,1-Jul-87,,
281,,Cancer,SQE,,1-Jul-87,,
284,,Cancer,AB,,1-Jan-90,4,
291,,Cancer,SQE,,1-Apr-88,0.3,
293,,Cancer,SQE,,1-Jan-88,310,http://oehha.ca.gov/media/downloads/crnr/dehpnsrlfinal.pdf
294,,Cancer,LC,,27-Feb-87,,
303,,Cancer,AB,,1-Jan-90,5,
304,,Cancer,AB,,1-Apr-91,64,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/bromoformnsrl061303.pdf
351,,Cancer,SQE,,1-Oct-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
352,,Cancer,AB,,1-Jan-90,300,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
354,,Cancer,AB,,1-May-96,4.1,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expedited2001.pdf
358,,Cancer,SQE,,1-Oct-87,5,
366,,Cancer,LC,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-chemicals-labor-code-mechanism-chloral-chloral-hydrate-1112,13-Sep-13,,
368,,Cancer,SQE,,1-Jul-88,0.5,
377,,Cancer,AB,,1-Jan-90,7,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
379,,Cancer,AB,,1-Jul-90,150,http://oehha.ca.gov/media/downloads/crnr/chloroethane20nsrlfinal.pdf
380,,Cancer,SQE,,1-Oct-87,20 (oral)                            40 (inhalation),
386,,Cancer,SQE,,1-Jan-89,41,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/011312nsrla.pdf
390,,Cancer,AB,,1-Jan-90,0.35 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
397,,Cancer,AB,,1-Jul-92,,
433,,Cancer,SQE,,1-Jan-88,,
434,,Cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
435,,Cancer,SQE,,1-Jan-88,,
436,,Cancer,SQE,,1-Jan-88,,
448,,Cancer,SQE,,1-Jan-89,2,
450,,Cancer,SQE,,1-Jul-88,0.04,
461,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/noil012012.html,22-Jun-12,,
463,,Cancer,LC,,27-Feb-87,0.002,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
464,,Cancer,SQE,,1-Jan-88,,
485,,Cancer,SQE,,1-Jan-88,40,
531,,Cancer,SQE,,1-Jan-88,0.04,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
550,,Cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
558,,Cancer,SQE,,1-Apr-88,,
570,,Cancer,SQE,,1-Apr-88,,
573,,Cancer,SQE,,1-Apr-88,7,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
602,,Cancer,LC,,1-Oct-89,,
611,,Cancer,SQE,,1-Jan-88,9,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
616,,Cancer,SQE,,1-Jul-87,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
620,,Cancer,SQE,,1-Jan-88,4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
634,,Cancer,LC,,1-Oct-89,300,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
637,,Cancer,AB,,1-Jan-90,2,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
667,,Cancer,AB,,1-May-96,,
675,,Cancer,SQE,,1-Jan-88,0.7,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
679,,Cancer,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noil20abpkg16a.pdf,17-May-02,,
689,,Cancer,SQE,,1-Jan-88,3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
730,,Cancer,LC,,1-Oct-89,0.09,
743,,Cancer,SQE,,1-Jan-88,0.6,
749,,Cancer,SQE,,1-Jan-88,0.2,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
762,,Cancer,AB,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/noilpkg19a3.html,31-May-02,,
772,,Cancer,SQE,,1-Oct-87,9,
780,,Cancer,SQE,,1-Jul-89,,
782,,Cancer,SQE,,1-Jan-88,0.7,
785,,Cancer,SQE,,1-Jan-88,,
792,,Cancer,FR,,1-Jul-87,2,
793,,Cancer,AB,,1-Oct-94,,
817,,Cancer,SQE,,1-Jul-88,0.2,
818,,Cancer,SQE,,1-Jul-88,0.08,
820,,Cancer,SQE,,1-Oct-87,0.4,
821,,Cancer,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-androstenedione-dibromoacetonitrile-hexachlorobutadiene-and,3-May-11,,
823,,Cancer,AB,,1-Jul-90,20,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
827,,Cancer,SQE,,1-Jan-88,,
850,,Cancer,SQE,,1-Jan-88,,
856,,Cancer,SQE,,1-Apr-88,50                                    200 (inhalation),
864,,Cancer,SQE,,1-Jan-88,0.04,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
892,,Cancer,SQE,,1-Oct-87,0.06,
893,,Cancer,SQE,,1-Jan-88,0.1,
894,,Cancer,SQE,,1-Oct-87,0.02,
895,,Cancer,SQE,,1-Oct-87,0.04,
896,,Cancer,SQE,,1-Apr-88,80,
897,,Cancer,LC,,1-Oct-89,0.03,
898,,Cancer,SQE,,1-Jan-88,0.1,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
899,,Cancer,SQE,,1-Jan-88,0.07,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
900,,Cancer,SQE,,1-Oct-87,0.3,
913,,Cancer,SQE,,1-Jan-88,5,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
917,,Cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
942,,Cancer,LC,,1-Oct-89,0.09,
943,,Cancer,LC,,1-Oct-89,0.09,
944,,Cancer,LC,,1-Oct-89,0.09,
945,,Cancer,LC,,1-Oct-89,0.09,
946,,Cancer,LC,,1-Oct-89,0.09,
947,,Cancer,LC,,1-Oct-89,0.09,
953,,Cancer,AB,,1-Jan-90,40,
983,,Cancer,LC,http://oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/090415LCset27.html,20-May-16,,
988,,Cancer,AB,http://oehha.ca.gov/proposition-65/crnr/notice-intent-list-styrene,22-Apr-16,,
998,,Cancer,SQE,,1-Jan-88,4,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1014,,Cancer,SQE,,1-Apr-88,14,
1028,,Cancer,SQE,,1-Apr-88,14 (oral)                           50 (inhalation),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/031612isortce.pdf
1035,,Cancer,AB,,1-May-96,24,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expedited2001.pdf
1038,,Cancer,SQE,,1-Jan-88,0.3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1053,,Cancer,LC,,27-Feb-87,3,
1066,,Cancer,AB,,1-Jul-90,3,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1258,,Cancer,AB,,1-Oct-90,10,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
1702,,Cancer,AB,,1-Jan-90,40,
1703,,Cancer,AB,,1-Jan-90,40,
1704,,Cancer,AB,,1-Jan-90,40,
1974,,Cancer,LC,,1-Oct-89,0.09,
2004,,Cancer,LC,http://www.oehha.ca.gov/prop65/CRNR_notices/admin_listing/intent_to_list/072613noil.html,13-Sep-13,,
2006,,Cancer,AB,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/noilabpkg32adibromoacetic20acid.pdf,17-Jun-08,,
2007,,Cancer,AB,,1-May-96,,
2020,,Cancer,SQE,,1-Jan-88,0.8,http://www.oehha.ca.gov/prop65/pdf/expcancer.pdf
300250,,Cancer,AB,,1-May-96,,
300266,,Cancer,LC,,1-Oct-89,0.09,
300267,,Cancer,LC,,1-Oct-89,0.09,
300268,,Cancer,LC,,1-Oct-89,0.09,
300269,,Cancer,LC,,1-Oct-89,0.09,
300270,,Cancer,LC,,1-Oct-89,0.09,
300271,,Cancer,LC,,1-Oct-89,0.09,
300272,,Cancer,LC,,1-Oct-89,0.09,
300273,,Cancer,LC,,1-Oct-89,0.09,
300274,,Cancer,LC,,1-Oct-89,0.09,
300275,,Cancer,LC,,1-Oct-89,0.09,
300276,,Cancer,LC,,1-Oct-89,0.09,
300277,,Cancer,LC,,1-Oct-89,0.09,
300278,,Cancer,LC,,1-Oct-89,0.09,
300279,,Cancer,LC,,1-Oct-89,0.09,
300280,,Cancer,LC,,1-Oct-89,0.09,
300281,,Cancer,LC,,1-Oct-89,0.09,
300282,,Cancer,LC,,1-Oct-89,0.09,
300283,,Cancer,LC,,1-Oct-89,0.09,
300284,,Cancer,LC,,1-Oct-89,0.09,
300285,,Cancer,LC,,1-Oct-89,0.09,
300286,,Cancer,LC,,1-Oct-89,0.09,
300288,,Cancer,LC,,1-Oct-89,0.09,
300289,,Cancer,LC,,1-Oct-89,0.09,
300291,,Cancer,SQE,,1-Jan-88,0.0054 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300293,,Cancer,SQE,,1-Jan-88,,
300322,,Cancer,SQE,,1-Jan-88,0.0050 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300341,,Cancer,LC,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/2bp1hydroxynot.pdf,27-May-05,,
300347,,Cancer,AB,,1-Oct-90,,
300348,,Cancer,AB,,1-Oct-90,,
300349,,Cancer,AB,,1-Oct-90,,
300365,,Cancer,AB,,1-Jan-92,9,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
300367,,Cancer,AB,,1-Oct-90,,
300379,,Cancer,LC,,1-Oct-89,0.09,
300406,,Cancer,SQE,,1-Jan-88,0.0050 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300428,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300432,,Cancer,LC,,1-Oct-89,0.09,
300433,,Cancer,LC,,1-Oct-89,0.09,
300435,,Cancer,LC,,1-Oct-89,0.09,
300436,,Cancer,LC,,1-Oct-89,0.09,
300437,,Cancer,LC,,1-Oct-89,0.09,
300438,,Cancer,LC,,1-Oct-89,0.09,
300440,,Cancer,LC,,1-Oct-89,0.09,
300441,,Cancer,LC,,1-Oct-89,0.09,
300442,,Cancer,LC,,1-Oct-89,0.09,
300504,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300559,,Cancer,SQE,,1-Jul-87,0.033 (oral),http://oehha.ca.gov/media/downloads/crnr/2pahnsrls62104.pdf
300560,,Cancer,SQE,,1-Jul-87,0.033 (oral),http://oehha.ca.gov/media/downloads/crnr/2pahnsrls62104.pdf
300561,,Cancer,AB,,1-Jan-90,0.35 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300562,,Cancer,AB,,1-Jan-90,0.35 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300565,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300566,,Cancer,SQE,,1-Jul-87,0.096 (oral),http://oehha.ca.gov/media/downloads/proposition-65/chemicals/062104clearcopy.pdf
300567,,Cancer,SQE,,1-Jul-87,,
300568,,Cancer,SQE,,1-Jul-87,,
300571,,Cancer,SQE,,1-Jul-87,0.06,
300572,,Cancer,SQE,,1-Jul-87,0.06,
300575,,Cancer,SQE,,1-Jan-88,,
300576,,Cancer,SQE,,1-Jan-88,,
300577,,Cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
300578,,Cancer,SQE,,1-Jan-88,0.2,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/expcancer.pdf
300579,,Cancer,SQE,,1-Jan-88,,
300580,,Cancer,SQE,,1-Jan-88,,
300595,,Cancer,SQE,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dibenzanthracenesaugust2014.pdf,26-Dec-14,,
300629,,Cancer,LC,,1-Oct-89,0.09,
300640,,Cancer,SQE,,1-Jul-91,,
300698,,Cancer,LC,,1-Oct-89,0.09,
300699,,Cancer,LC,,1-Oct-89,0.09,
300700,,Cancer,LC,,1-Oct-89,0.09,
300701,,Cancer,LC,,1-Oct-89,0.09,
300703,,Cancer,LC,,1-Oct-89,0.09,
300704,,Cancer,LC,,1-Oct-89,0.09,
300705,,Cancer,LC,,1-Oct-89,0.09,
300707,,Cancer,LC,,1-Oct-89,0.09,
300708,,Cancer,LC,,1-Oct-89,0.09,
300711,,Cancer,SQE,,1-Jan-88,0.02,
300718,,Cancer,LC,,1-Oct-89,0.09,
300719,,Cancer,LC,,1-Oct-89,0.09,
300720,,Cancer,LC,,1-Oct-89,0.09,
300721,,Cancer,LC,,1-Oct-89,0.09,
300722,,Cancer,LC,,1-Oct-89,0.09,
300723,,Cancer,LC,,1-Oct-89,0.09,
300724,,Cancer,LC,,1-Oct-89,0.09,
300725,,Cancer,LC,,1-Oct-89,0.09,
300726,,Cancer,LC,,1-Oct-89,0.09,
300736,,Cancer,LC,,1-Oct-89,0.09,
300737,,Cancer,LC,,1-Oct-89,0.09,
300739,,Cancer,LC,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/lcset12a030411.pdf,29-Apr-11,,
300742,,Cancer,SQE,http://oehha.ca.gov/media/downloads/proposition-65/chemicals/dibenzanthracenesaugust2014.pdf,26-Dec-14,,
300743,,Cancer,LC,,1-Oct-89,0.09,
300745,,Cancer,LC,,1-Oct-89,0.09,
300747,,Cancer,LC,,1-Oct-89,0.09,
300748,,Cancer,LC,,1-Oct-89,0.09,
300750,,Cancer,SQE,,1-Jan-88,0.02,
300755,,Cancer,LC,,1-Oct-89,0.09,
300756,,Cancer,LC,,1-Oct-89,0.09,
300757,,Cancer,LC,,1-Oct-89,0.09,
300758,,Cancer,LC,,1-Oct-89,0.09,
300763,,Cancer,LC,,1-Oct-89,0.09,
300764,,Cancer,LC,,1-Oct-89,0.09,
300765,,Cancer,LC,,1-Oct-89,0.09,
300766,,Cancer,LC,,1-Oct-89,0.09,
300773,,Cancer,LC,,1-Oct-89,0.09,
300883,,Cancer,SQE,,1-Jul-88,0.08,
300884,,Cancer,SQE,,1-Oct-87,0.4,
300893,,Cancer,AB,,1-Oct-94,,
300894,,Cancer,LC,,1-Oct-89,0.09,
300897,,Cancer,LC,,1-Oct-89,0.09,
300898,,Cancer,LC,,1-Oct-89,0.09,
300899,,Cancer,LC,,1-Oct-89,0.09,
300900,,Cancer,LC,,1-Oct-89,0.09,
300901,,Cancer,LC,,1-Oct-89,0.09,
300903,,Cancer,LC,,1-Oct-89,0.09,
300904,,Cancer,LC,,1-Oct-89,0.09,
300905,,Cancer,LC,,1-Oct-89,0.09,
300906,,Cancer,LC,,1-Oct-89,0.09,
300907,,Cancer,LC,,1-Oct-89,0.09,
300908,,Cancer,LC,,1-Oct-89,0.09,
300909,,Cancer,LC,,1-Oct-89,0.09,
300910,,Cancer,LC,,1-Oct-89,0.09,
300911,,Cancer,LC,,1-Oct-89,0.09,
300912,,Cancer,LC,,1-Oct-89,0.09,
300913,,Cancer,LC,,1-Oct-89,0.09,
300914,,Cancer,LC,,1-Oct-89,0.09,
300915,,Cancer,LC,,1-Oct-89,0.09,
300916,,Cancer,LC,,1-Oct-89,0.09,
300917,,Cancer,LC,,1-Oct-89,0.09,
300918,,Cancer,LC,,1-Oct-89,0.09,
300919,,Cancer,LC,,1-Oct-89,0.09,
300920,,Cancer,LC,,1-Oct-89,0.09,
300921,,Cancer,LC,,1-Oct-89,0.09,
300922,,Cancer,LC,,1-Oct-89,0.09,
300923,,Cancer,LC,,1-Oct-89,0.09,
300924,,Cancer,LC,,1-Oct-89,0.09,
300925,,Cancer,LC,,1-Oct-89,0.09,
300926,,Cancer,LC,,1-Oct-89,0.09,
300927,,Cancer,LC,,1-Oct-89,0.09,
300928,,Cancer,LC,,1-Oct-89,0.09,
300929,,Cancer,LC,,1-Oct-89,0.09,
300930,,Cancer,LC,,1-Oct-89,0.09,
300931,,Cancer,LC,,1-Oct-89,0.09,
300932,,Cancer,LC,,1-Oct-89,0.09,
300933,,Cancer,LC,,1-Oct-89,0.09,
300934,,Cancer,LC,,1-Oct-89,0.09,
300935,,Cancer,LC,,1-Oct-89,0.09,
300936,,Cancer,LC,,1-Oct-89,0.09,
300937,,Cancer,LC,,1-Oct-89,0.09,
300938,,Cancer,LC,,1-Oct-89,0.09,
300939,,Cancer,LC,,1-Oct-89,0.09,
