"SampleNumber","ParameterName","Result","PureSampleName"
"A241264","Tri-p-tolyl phosphate",44.1,"105-WB"
"A241134","TPP",25.7,"31-WB"
"A241137","TPP",33.9,"45-WB"
"A241142","TPP",55.1,"62-WB"
"A241144","TPP",95.7,"65-WB"
"A241147","TPP",23.2,"74-WB"
"A241149","TPP",17.7,"40-WB"
"A241153","TPP",45.3,"29-WB"
"A241155","TPP",24.3,"72-WB"
"A241156","TPP",223,"26-WB"
"A241161","TPP",60.4,"85-WB"
"A241163","TPP",17.1,"60-WB"
"A241166","TPP",7.59,"57-WB"
"A241170","TPP",10.5,"36-WB"
"A241175","TPP",27.1,"48-WB"
"A241177","TPP",9.03,"34-WB"
"A241181","TPP",1010,"27-WB"
"A241184","TPP",64.2,"96-WB"
"A241186","TPP",72.3,"52-WB"
"A241188","TPP",24.4,"122-WB"
"A241194","TPP",30.6,"169-WB"
"A241196","TPP",88.7,"134-WB"
"A241201","TPP",747,"147-WB"
"A241203","TPP",45.9,"173-WB"
"A241205","TPP",28.4,"135-WB"
"A241207","TPP",18.1,"132-WB"
"A241209","TPP",21.3,"190-WB"
"A241213","TPP",54.2,"156-WB"
"A241215","TPP",47.2,"75-WB"
"A241217","TPP",43.7,"191-WB"
"A241219","TPP",30.9,"53-WB"
"A241221","TPP",12.4,"140-WB"
"A241229","TPP",47.8,"130-WB"
"A241230","TPP",35.6,"145-WB"
"A241232","TPP",142,"68-WB"
"A241235","TPP",24.2,"150-WB"
"A241242","TPP",12.2,"102-WB"
"A241248","TPP",12.5,"104-WB"
"A241253","TPP",18.9,"131-WB"
"A241259","TPP",62.6,"154-WB"
"A241260","TPP",5.8,"144-WB"
"A241263","TPP",27,"165-WB"
"A241264","TPP",42.4,"105-WB"
"A241266","TPP",4510,"188-WB"
"A241270","TPP",31.6,"90-WB"
"A241273","TPP",14.7,"166-WB"
"A241564","TPP",141,"143-WB"
"A241566","TPP",18.1,"109-WB"
"A241571","TPP",17.2,"103-WB"
"A241574","TPP",2.71,"88-WB"
"A241579","TPP",75.2,"92-WB"
"A241580","TPP",2.94,"24-WB"
"A241587","TPP",55.3,"121-WB"
"A241589","TPP",30.7,"158-WB"
"A241591","TPP",243,"146-WB"
"A241592","TPP",149,"189-WB"
"A241594","TPP",19.1,"32-WB"
"A241596","TPP",167,"141-WB"
"A241601","TPP",19.2,"160-WB"
"A241603","TPP",38.4,"38-WB"
"A241604","TPP",71.9,"245-WB"
"A241613","TPP",21.7,"272-WB"
"A241615","TPP",70,"306-WB"
"A241618","TPP",105,"250-WB"
"A241624","TPP",60.8,"197-WB"
"A241627","TPP",15.9,"321-WB"
"A241631","TPP",26.6,"290-WB"
"A241230","2,4-Dichlorophenol",11.3,"145-WB"
"A241151","Biphenyl",2.8,"56-WB"
"A241194","Biphenyl",4.24,"169-WB"
"A241201","Biphenyl",3.9,"147-WB"
"A241270","Biphenyl",51.9,"90-WB"
"A241587","Biphenyl",5.98,"121-WB"
"A241603","Biphenyl",14.2,"38-WB"
"A241627","Biphenyl",4.18,"321-WB"
"A241194","Acenaphthene",13.4,"169-WB"
"A241201","Acenaphthene",14.1,"147-WB"
"A241213","Acenaphthene",9.71,"156-WB"
"A241230","Acenaphthene",3.17,"145-WB"
"A241235","Acenaphthene",10.6,"150-WB"
"A241259","Acenaphthene",26.6,"154-WB"
"A241273","Acenaphthene",5.13,"166-WB"
"A241591","Acenaphthene",17.6,"146-WB"
"A241601","Acenaphthene",9.26,"160-WB"
"A241203","Acenaphthylene",1.6,"173-WB"
"A241209","Alpha-Chlordane",37.6,"190-WB"
"A241133","Anthracene",3.61,"25-WB"
"A241137","Anthracene",14.7,"45-WB"
"A241139","Anthracene",12.7,"82-WB"
"A241149","Anthracene",7.44,"40-WB"
"A241151","Anthracene",8.59,"56-WB"
"A241153","Anthracene",13.9,"29-WB"
"A241175","Anthracene",17.2,"48-WB"
"A241186","Anthracene",5.67,"52-WB"
"A241188","Anthracene",3.88,"122-WB"
"A241201","Anthracene",33.9,"147-WB"
"A241205","Anthracene",11.2,"135-WB"
"A241209","Anthracene",8.67,"190-WB"
"A241211","Anthracene",10.5,"119-WB"
"A241213","Anthracene",38.4,"156-WB"
"A241224","Anthracene",10.6,"167-WB"
"A241235","Anthracene",41.9,"150-WB"
"A241250","Anthracene",8.38,"100-WB"
"A241256","Anthracene",6.74,"179-WB"
"A241260","Anthracene",43.3,"144-WB"
"A241273","Anthracene",19.1,"166-WB"
"A241564","Anthracene",8.61,"143-WB"
"A241566","Anthracene",12,"109-WB"
"A241572","Anthracene",42.4,"91-WB"
"A241579","Anthracene",1.57,"92-WB"
"A241587","Anthracene",44.3,"121-WB"
"A241589","Anthracene",2.35,"158-WB"
"A241591","Anthracene",103,"146-WB"
"A241592","Anthracene",54.1,"189-WB"
"A241601","Anthracene",15.8,"160-WB"
"A241603","Anthracene",9.03,"38-WB"
"A241627","Anthracene",2.72,"321-WB"
"A241629","Anthracene",7.94,"324-WB"
"A241631","Anthracene",11.3,"290-WB"
"A241263","Benzyl alcohol",65.2,"165-WB"
"A241134","Butyl benzyl phthalate",275,"31-WB"
"A241139","Butyl benzyl phthalate",251,"82-WB"
"A241142","Butyl benzyl phthalate",58.7,"62-WB"
"A241144","Butyl benzyl phthalate",1280,"65-WB"
"A241147","Butyl benzyl phthalate",15.5,"74-WB"
"A241149","Butyl benzyl phthalate",42.9,"40-WB"
"A241151","Butyl benzyl phthalate",190,"56-WB"
"A241153","Butyl benzyl phthalate",36.1,"29-WB"
"A241155","Butyl benzyl phthalate",108,"72-WB"
"A241156","Butyl benzyl phthalate",81.3,"26-WB"
"A241158","Butyl benzyl phthalate",15.6,"73-WB"
"A241161","Butyl benzyl phthalate",119,"85-WB"
"A241163","Butyl benzyl phthalate",97.6,"60-WB"
"A241168","Butyl benzyl phthalate",40.6,"63-WB"
"A241170","Butyl benzyl phthalate",33.1,"36-WB"
"A241173","Butyl benzyl phthalate",162,"64-WB"
"A241177","Butyl benzyl phthalate",20.3,"34-WB"
"A241184","Butyl benzyl phthalate",111,"96-WB"
"A241186","Butyl benzyl phthalate",870,"52-WB"
"A241188","Butyl benzyl phthalate",71.3,"122-WB"
"A241191","Butyl benzyl phthalate",214,"161-WB"
"A241192","Butyl benzyl phthalate",50.6,"124-WB"
"A241194","Butyl benzyl phthalate",163,"169-WB"
"A241196","Butyl benzyl phthalate",502,"134-WB"
"A241201","Butyl benzyl phthalate",69.6,"147-WB"
"A241203","Butyl benzyl phthalate",89.9,"173-WB"
"A241207","Butyl benzyl phthalate",41.5,"132-WB"
"A241209","Butyl benzyl phthalate",96.5,"190-WB"
"A241211","Butyl benzyl phthalate",36,"119-WB"
"A241213","Butyl benzyl phthalate",271,"156-WB"
"A241215","Butyl benzyl phthalate",111,"75-WB"
"A241217","Butyl benzyl phthalate",17500,"191-WB"
"A241219","Butyl benzyl phthalate",1930,"53-WB"
"A241221","Butyl benzyl phthalate",48.7,"140-WB"
"A241222","Butyl benzyl phthalate",94.5,"123-WB"
"A241224","Butyl benzyl phthalate",24.5,"167-WB"
"A241229","Butyl benzyl phthalate",135,"130-WB"
"A241230","Butyl benzyl phthalate",123,"145-WB"
"A241232","Butyl benzyl phthalate",858,"68-WB"
"A241235","Butyl benzyl phthalate",274,"150-WB"
"A241236","Butyl benzyl phthalate",90.3,"157-WB"
"A241238","Butyl benzyl phthalate",181,"168-WB"
"A241241","Butyl benzyl phthalate",64.5,"80-WB"
"A241242","Butyl benzyl phthalate",48.5,"102-WB"
"A241245","Butyl benzyl phthalate",9.09,"180-WB"
"A241246","Butyl benzyl phthalate",54.1,"54-WB"
"A241253","Butyl benzyl phthalate",34.7,"131-WB"
"A241254","Butyl benzyl phthalate",61.9,"51-WB"
"A241256","Butyl benzyl phthalate",13.6,"179-WB"
"A241259","Butyl benzyl phthalate",96.7,"154-WB"
"A241260","Butyl benzyl phthalate",20.9,"144-WB"
"A241263","Butyl benzyl phthalate",31.8,"165-WB"
"A241264","Butyl benzyl phthalate",61.1,"105-WB"
"A241266","Butyl benzyl phthalate",132,"188-WB"
"A241269","Butyl benzyl phthalate",50.5,"117-WB"
"A241270","Butyl benzyl phthalate",126,"90-WB"
"A241273","Butyl benzyl phthalate",82.1,"166-WB"
"A241564","Butyl benzyl phthalate",254,"143-WB"
"A241566","Butyl benzyl phthalate",171,"109-WB"
"A241568","Butyl benzyl phthalate",31.9,"174-WB"
"A241571","Butyl benzyl phthalate",1240,"103-WB"
"A241572","Butyl benzyl phthalate",830,"91-WB"
"A241574","Butyl benzyl phthalate",32.5,"88-WB"
"A241576","Butyl benzyl phthalate",155,"175-WB"
"A241579","Butyl benzyl phthalate",175,"92-WB"
"A241580","Butyl benzyl phthalate",327,"24-WB"
"A241583","Butyl benzyl phthalate",79.9,"176-WB"
"A241585","Butyl benzyl phthalate",38.1,"101-WB"
"A241587","Butyl benzyl phthalate",952,"121-WB"
"A241589","Butyl benzyl phthalate",48.8,"158-WB"
"A241591","Butyl benzyl phthalate",419,"146-WB"
"A241592","Butyl benzyl phthalate",1640,"189-WB"
"A241594","Butyl benzyl phthalate",139,"32-WB"
"A241596","Butyl benzyl phthalate",10000,"141-WB"
"A241599","Butyl benzyl phthalate",196,"159-WB"
"A241601","Butyl benzyl phthalate",1130,"160-WB"
"A241603","Butyl benzyl phthalate",21700,"38-WB"
"A241604","Butyl benzyl phthalate",159,"245-WB"
"A241606","Butyl benzyl phthalate",33.4,"299-WB"
"A241609","Butyl benzyl phthalate",92.2,"298-WB"
"A241613","Butyl benzyl phthalate",128,"272-WB"
"A241615","Butyl benzyl phthalate",451,"306-WB"
"A241616","Butyl benzyl phthalate",161,"307-WB"
"A241618","Butyl benzyl phthalate",942,"250-WB"
"A241621","Butyl benzyl phthalate",926,"348-WB"
"A241622","Butyl benzyl phthalate",1170,"205-WB"
"A241624","Butyl benzyl phthalate",9.33,"197-WB"
"A241627","Butyl benzyl phthalate",7.73,"321-WB"
"A241629","Butyl benzyl phthalate",293,"324-WB"
"A241631","Butyl benzyl phthalate",115,"290-WB"
"A241633","Butyl benzyl phthalate",194,"246-WB"
"A241133","Bis(2-ethylhexyl)phthalate",24.8,"25-WB"
"A241134","Bis(2-ethylhexyl)phthalate",16900,"31-WB"
"A241137","Bis(2-ethylhexyl)phthalate",3840,"45-WB"
"A241139","Bis(2-ethylhexyl)phthalate",9200,"82-WB"
"A241140","Bis(2-ethylhexyl)phthalate",12000,"67-WB"
"A241142","Bis(2-ethylhexyl)phthalate",5510,"62-WB"
"A241144","Bis(2-ethylhexyl)phthalate",21700,"65-WB"
"A241147","Bis(2-ethylhexyl)phthalate",897,"74-WB"
"A241149","Bis(2-ethylhexyl)phthalate",2270,"40-WB"
"A241151","Bis(2-ethylhexyl)phthalate",5990,"56-WB"
"A241153","Bis(2-ethylhexyl)phthalate",4810,"29-WB"
"A241155","Bis(2-ethylhexyl)phthalate",4650,"72-WB"
"A241156","Bis(2-ethylhexyl)phthalate",4970,"26-WB"
"A241158","Bis(2-ethylhexyl)phthalate",3200,"73-WB"
"A241161","Bis(2-ethylhexyl)phthalate",19100,"85-WB"
"A241163","Bis(2-ethylhexyl)phthalate",15900,"60-WB"
"A241164","Bis(2-ethylhexyl)phthalate",7930,"42-WB"
"A241166","Bis(2-ethylhexyl)phthalate",1540,"57-WB"
"A241168","Bis(2-ethylhexyl)phthalate",4740,"63-WB"
"A241170","Bis(2-ethylhexyl)phthalate",2330,"36-WB"
"A241173","Bis(2-ethylhexyl)phthalate",4930,"64-WB"
"A241175","Bis(2-ethylhexyl)phthalate",16900,"48-WB"
"A241177","Bis(2-ethylhexyl)phthalate",10500,"34-WB"
"A241179","Bis(2-ethylhexyl)phthalate",12000,"76-WB"
"A241181","Bis(2-ethylhexyl)phthalate",8350,"27-WB"
"A241184","Bis(2-ethylhexyl)phthalate",71900,"96-WB"
"A241186","Bis(2-ethylhexyl)phthalate",7430,"52-WB"
"A241188","Bis(2-ethylhexyl)phthalate",37000,"122-WB"
"A241191","Bis(2-ethylhexyl)phthalate",3390,"161-WB"
"A241192","Bis(2-ethylhexyl)phthalate",6860,"124-WB"
"A241194","Bis(2-ethylhexyl)phthalate",49200,"169-WB"
"A241196","Bis(2-ethylhexyl)phthalate",12000,"134-WB"
"A241198","Bis(2-ethylhexyl)phthalate",19900,"33-WB"
"A241203","Bis(2-ethylhexyl)phthalate",8390,"173-WB"
"A241205","Bis(2-ethylhexyl)phthalate",4730,"135-WB"
"A241207","Bis(2-ethylhexyl)phthalate",18100,"132-WB"
"A241211","Bis(2-ethylhexyl)phthalate",2290,"119-WB"
"A241213","Bis(2-ethylhexyl)phthalate",29300,"156-WB"
"A241215","Bis(2-ethylhexyl)phthalate",10100,"75-WB"
"A241217","Bis(2-ethylhexyl)phthalate",21000,"191-WB"
"A241219","Bis(2-ethylhexyl)phthalate",27000,"53-WB"
"A241221","Bis(2-ethylhexyl)phthalate",2660,"140-WB"
"A241222","Bis(2-ethylhexyl)phthalate",1610,"123-WB"
"A241224","Bis(2-ethylhexyl)phthalate",3930,"167-WB"
"A241226","Bis(2-ethylhexyl)phthalate",76.7,"153-WB"
"A241229","Bis(2-ethylhexyl)phthalate",28200,"130-WB"
"A241230","Bis(2-ethylhexyl)phthalate",7720,"145-WB"
"A241232","Bis(2-ethylhexyl)phthalate",16700,"68-WB"
"A241235","Bis(2-ethylhexyl)phthalate",13400,"150-WB"
"A241236","Bis(2-ethylhexyl)phthalate",7310,"157-WB"
"A241238","Bis(2-ethylhexyl)phthalate",513,"168-WB"
"A241241","Bis(2-ethylhexyl)phthalate",16800,"80-WB"
"A241242","Bis(2-ethylhexyl)phthalate",4150,"102-WB"
"A241245","Bis(2-ethylhexyl)phthalate",997,"180-WB"
"A241246","Bis(2-ethylhexyl)phthalate",9510,"54-WB"
"A241248","Bis(2-ethylhexyl)phthalate",47.1,"104-WB"
"A241250","Bis(2-ethylhexyl)phthalate",10800,"100-WB"
"A241253","Bis(2-ethylhexyl)phthalate",75.2,"131-WB"
"A241254","Bis(2-ethylhexyl)phthalate",16400,"51-WB"
"A241256","Bis(2-ethylhexyl)phthalate",440,"179-WB"
"A241259","Bis(2-ethylhexyl)phthalate",7970,"154-WB"
"A241263","Bis(2-ethylhexyl)phthalate",3820,"165-WB"
"A241264","Bis(2-ethylhexyl)phthalate",4240,"105-WB"
"A241266","Bis(2-ethylhexyl)phthalate",3070,"188-WB"
"A241269","Bis(2-ethylhexyl)phthalate",4010,"117-WB"
"A241270","Bis(2-ethylhexyl)phthalate",8130,"90-WB"
"A241273","Bis(2-ethylhexyl)phthalate",13600,"166-WB"
"A241564","Bis(2-ethylhexyl)phthalate",15500,"143-WB"
"A241568","Bis(2-ethylhexyl)phthalate",8090,"174-WB"
"A241571","Bis(2-ethylhexyl)phthalate",16700,"103-WB"
"A241572","Bis(2-ethylhexyl)phthalate",16200,"91-WB"
"A241574","Bis(2-ethylhexyl)phthalate",5240,"88-WB"
"A241580","Bis(2-ethylhexyl)phthalate",1340,"24-WB"
"A241583","Bis(2-ethylhexyl)phthalate",8470,"176-WB"
"A241585","Bis(2-ethylhexyl)phthalate",8850,"101-WB"
"A241591","Bis(2-ethylhexyl)phthalate",29700,"146-WB"
"A241592","Bis(2-ethylhexyl)phthalate",42900,"189-WB"
"A241594","Bis(2-ethylhexyl)phthalate",9200,"32-WB"
"A241599","Bis(2-ethylhexyl)phthalate",4270,"159-WB"
"A241601","Bis(2-ethylhexyl)phthalate",10300,"160-WB"
"A241604","Bis(2-ethylhexyl)phthalate",5350,"245-WB"
"A241606","Bis(2-ethylhexyl)phthalate",5880,"299-WB"
"A241609","Bis(2-ethylhexyl)phthalate",6200,"298-WB"
"A241615","Bis(2-ethylhexyl)phthalate",33900,"306-WB"
"A241616","Bis(2-ethylhexyl)phthalate",9030,"307-WB"
"A241618","Bis(2-ethylhexyl)phthalate",28400,"250-WB"
"A241621","Bis(2-ethylhexyl)phthalate",42900,"348-WB"
"A241622","Bis(2-ethylhexyl)phthalate",178000,"205-WB"
"A241624","Bis(2-ethylhexyl)phthalate",15400,"197-WB"
"A241627","Bis(2-ethylhexyl)phthalate",25100,"321-WB"
"A241629","Bis(2-ethylhexyl)phthalate",6690,"324-WB"
"A241631","Bis(2-ethylhexyl)phthalate",17000,"290-WB"
"A241633","Bis(2-ethylhexyl)phthalate",3760,"246-WB"
"A241583","Bifenthrin",12.5,"176-WB"
"A241585","Bifenthrin",125,"101-WB"
"A241591","9-Fluorenone",10,"146-WB"
"A241572","3,6-Dimethylphenanthrene",57.9,"91-WB"
"A241149","1,6-Dimethylnaphthalene",2.65,"40-WB"
"A241211","1,6-Dimethylnaphthalene",3.93,"119-WB"
"A241601","1,6-Dimethylnaphthalene",1.35,"160-WB"
"A241151","1,2-Dimethylnaphthalene",7.79,"56-WB"
"A241205","1,2-Dimethylnaphthalene",3.78,"135-WB"
"A241211","1,2-Dimethylnaphthalene",4.74,"119-WB"
"A241603","1,2-Dimethylnaphthalene",42.9,"38-WB"
"A241149","2-Methylphenanthrene",3.78,"40-WB"
"A241175","2-Methylphenanthrene",15.6,"48-WB"
"A241572","2-Methylphenanthrene",19.3,"91-WB"
"A241596","2-Methylphenanthrene",15.5,"141-WB"
"A241175","1-Methylpyrene",13.3,"48-WB"
"A241140","N,N-Diethyl-m-toluamide",1490,"67-WB"
"A241142","N,N-Diethyl-m-toluamide",202,"62-WB"
"A241144","N,N-Diethyl-m-toluamide",3430,"65-WB"
"A241147","N,N-Diethyl-m-toluamide",148,"74-WB"
"A241149","N,N-Diethyl-m-toluamide",227,"40-WB"
"A241151","N,N-Diethyl-m-toluamide",12400,"56-WB"
"A241158","N,N-Diethyl-m-toluamide",106,"73-WB"
"A241161","N,N-Diethyl-m-toluamide",90.6,"85-WB"
"A241164","N,N-Diethyl-m-toluamide",862,"42-WB"
"A241166","N,N-Diethyl-m-toluamide",36.9,"57-WB"
"A241168","N,N-Diethyl-m-toluamide",194,"63-WB"
"A241173","N,N-Diethyl-m-toluamide",349,"64-WB"
"A241179","N,N-Diethyl-m-toluamide",12.3,"76-WB"
"A241181","N,N-Diethyl-m-toluamide",83.5,"27-WB"
"A241182","N,N-Diethyl-m-toluamide",397,"106-WB"
"A241184","N,N-Diethyl-m-toluamide",299,"96-WB"
"A241188","N,N-Diethyl-m-toluamide",135,"122-WB"
"A241196","N,N-Diethyl-m-toluamide",83,"134-WB"
"A241201","N,N-Diethyl-m-toluamide",86.6,"147-WB"
"A241203","N,N-Diethyl-m-toluamide",71.9,"173-WB"
"A241205","N,N-Diethyl-m-toluamide",68.9,"135-WB"
"A241209","N,N-Diethyl-m-toluamide",311,"190-WB"
"A241211","N,N-Diethyl-m-toluamide",29.4,"119-WB"
"A241215","N,N-Diethyl-m-toluamide",1660,"75-WB"
"A241217","N,N-Diethyl-m-toluamide",68.2,"191-WB"
"A241219","N,N-Diethyl-m-toluamide",149,"53-WB"
"A241224","N,N-Diethyl-m-toluamide",29.4,"167-WB"
"A241229","N,N-Diethyl-m-toluamide",78.1,"130-WB"
"A241232","N,N-Diethyl-m-toluamide",156,"68-WB"
"A241235","N,N-Diethyl-m-toluamide",322,"150-WB"
"A241245","N,N-Diethyl-m-toluamide",19.1,"180-WB"
"A241246","N,N-Diethyl-m-toluamide",522,"54-WB"
"A241248","N,N-Diethyl-m-toluamide",38.8,"104-WB"
"A241250","N,N-Diethyl-m-toluamide",77.4,"100-WB"
"A241253","N,N-Diethyl-m-toluamide",13.9,"131-WB"
"A241254","N,N-Diethyl-m-toluamide",17,"51-WB"
"A241256","N,N-Diethyl-m-toluamide",20.5,"179-WB"
"A241259","N,N-Diethyl-m-toluamide",81.6,"154-WB"
"A241260","N,N-Diethyl-m-toluamide",22.4,"144-WB"
"A241263","N,N-Diethyl-m-toluamide",111,"165-WB"
"A241264","N,N-Diethyl-m-toluamide",204,"105-WB"
"A241266","N,N-Diethyl-m-toluamide",75.8,"188-WB"
"A241270","N,N-Diethyl-m-toluamide",18.1,"90-WB"
"A241273","N,N-Diethyl-m-toluamide",79.2,"166-WB"
"A241564","N,N-Diethyl-m-toluamide",310,"143-WB"
"A241566","N,N-Diethyl-m-toluamide",6220,"109-WB"
"A241574","N,N-Diethyl-m-toluamide",6860,"88-WB"
"A241576","N,N-Diethyl-m-toluamide",130,"175-WB"
"A241580","N,N-Diethyl-m-toluamide",9,"24-WB"
"A241583","N,N-Diethyl-m-toluamide",107,"176-WB"
"A241585","N,N-Diethyl-m-toluamide",19.8,"101-WB"
"A241587","N,N-Diethyl-m-toluamide",1950,"121-WB"
"A241589","N,N-Diethyl-m-toluamide",30.7,"158-WB"
"A241591","N,N-Diethyl-m-toluamide",74.3,"146-WB"
"A241592","N,N-Diethyl-m-toluamide",1600,"189-WB"
"A241594","N,N-Diethyl-m-toluamide",123,"32-WB"
"A241601","N,N-Diethyl-m-toluamide",3610,"160-WB"
"A241618","N,N-Diethyl-m-toluamide",249,"250-WB"
"A241627","N,N-Diethyl-m-toluamide",186,"321-WB"
"A241631","N,N-Diethyl-m-toluamide",68.6,"290-WB"
"A241151","2,6-Dimethylnaphthalene",9.59,"56-WB"
"A241201","2,6-Dimethylnaphthalene",2.55,"147-WB"
"A241266","2,6-Dimethylnaphthalene",2.35,"188-WB"
"A241603","2,6-Dimethylnaphthalene",31.6,"38-WB"
"A241621","2,6-Dimethylnaphthalene",6.09,"348-WB"
"A241209","O-Phenylphenol",26.2,"190-WB"
"A241133","Benzophenone",212,"25-WB"
"A241134","Benzophenone",55.1,"31-WB"
"A241137","Benzophenone",45.1,"45-WB"
"A241139","Benzophenone",37.6,"82-WB"
"A241140","Benzophenone",221,"67-WB"
"A241142","Benzophenone",58.7,"62-WB"
"A241144","Benzophenone",97.5,"65-WB"
"A241147","Benzophenone",29.4,"74-WB"
"A241149","Benzophenone",35.3,"40-WB"
"A241151","Benzophenone",59.9,"56-WB"
"A241153","Benzophenone",51.8,"29-WB"
"A241155","Benzophenone",99.6,"72-WB"
"A241158","Benzophenone",42,"73-WB"
"A241161","Benzophenone",68.4,"85-WB"
"A241163","Benzophenone",26.8,"60-WB"
"A241164","Benzophenone",53.4,"42-WB"
"A241166","Benzophenone",16.8,"57-WB"
"A241168","Benzophenone",120,"63-WB"
"A241170","Benzophenone",9.78,"36-WB"
"A241173","Benzophenone",59.5,"64-WB"
"A241175","Benzophenone",248,"48-WB"
"A241177","Benzophenone",18.1,"34-WB"
"A241179","Benzophenone",30.9,"76-WB"
"A241181","Benzophenone",56.9,"27-WB"
"A241184","Benzophenone",133,"96-WB"
"A241186","Benzophenone",86,"52-WB"
"A241188","Benzophenone",46,"122-WB"
"A241192","Benzophenone",81.3,"124-WB"
"A241194","Benzophenone",59.4,"169-WB"
"A241196","Benzophenone",193,"134-WB"
"A241198","Benzophenone",655,"33-WB"
"A241201","Benzophenone",49.2,"147-WB"
"A241203","Benzophenone",47.9,"173-WB"
"A241205","Benzophenone",243,"135-WB"
"A241207","Benzophenone",39.7,"132-WB"
"A241209","Benzophenone",294,"190-WB"
"A241211","Benzophenone",45.8,"119-WB"
"A241213","Benzophenone",113,"156-WB"
"A241215","Benzophenone",59.5,"75-WB"
"A241217","Benzophenone",29.7,"191-WB"
"A241219","Benzophenone",482,"53-WB"
"A241221","Benzophenone",53.1,"140-WB"
"A241222","Benzophenone",42,"123-WB"
"A241224","Benzophenone",27.8,"167-WB"
"A241229","Benzophenone",99.8,"130-WB"
"A241230","Benzophenone",117,"145-WB"
"A241235","Benzophenone",27.4,"150-WB"
"A241236","Benzophenone",19.1,"157-WB"
"A241238","Benzophenone",32.8,"168-WB"
"A241241","Benzophenone",14.3,"80-WB"
"A241246","Benzophenone",37.3,"54-WB"
"A241248","Benzophenone",42.9,"104-WB"
"A241250","Benzophenone",29,"100-WB"
"A241253","Benzophenone",73.3,"131-WB"
"A241259","Benzophenone",64.5,"154-WB"
"A241260","Benzophenone",92.8,"144-WB"
"A241263","Benzophenone",223,"165-WB"
"A241264","Benzophenone",102,"105-WB"
"A241266","Benzophenone",30.7,"188-WB"
"A241269","Benzophenone",25.2,"117-WB"
"A241270","Benzophenone",72.2,"90-WB"
"A241273","Benzophenone",92.3,"166-WB"
"A241564","Benzophenone",107,"143-WB"
"A241566","Benzophenone",110,"109-WB"
"A241568","Benzophenone",196,"174-WB"
"A241571","Benzophenone",164,"103-WB"
"A241572","Benzophenone",168,"91-WB"
"A241574","Benzophenone",12.3,"88-WB"
"A241576","Benzophenone",28.9,"175-WB"
"A241579","Benzophenone",22.7,"92-WB"
"A241580","Benzophenone",18,"24-WB"
"A241583","Benzophenone",31.4,"176-WB"
"A241585","Benzophenone",13,"101-WB"
